# Wing loading values (g.mm-2) for two broods of swifts during the two weeks
# prior to fledging (at day=0).
# Columns are: number of days before fledging, wing loading and uncertainty
# for brood 1, wing loading and uncertainty for brood 2. 
14, 0.0102, 0.0015, 0.0067, 0.0005 
13, 0.0091, 0.0006, 0.0065, 0.0005 
12, 0.0084, 0.0004, 0.0061, 0.0003 
11, 0.0077, 0.0003, 0.0058, 0.0002 
10, 0.0073, 0.0003, 0.0055, 0.0002 
9, 0.0069, 0.0003, 0.0051, 0.0002
8, 0.0065, 0.0003, 0.0048, 0.0001
7, 0.0061, 0.0003, 0.0048, 0.0002
6, 0.0057, 0.0003, 0.0047, 0.0002
5, 0.0055, 0.0003, 0.0046, 0.0001
4, 0.0052, 0.0002, 0.0043, 0.0002
3, 0.0050, 0.0002, 0.0041, 0.0001
2, 0.0048, 0.0002, 0.0040, 0.0001
1, 0.0046, 0.0001, 0.0041, 0.0001
